Title,Sponsor,Submission Deadline,Award Amount,Description
Ambassador Award,Sponsor: Schiller International University,Unrestricted,50% of tuition,"20 one-half tuition awards for students who are employees or dependents of employees of a consulate, an embassy or a similar type of diplomatic service appointment of their home country who demonstrate need. This is for study at any campus of Schiller International University."
Bourse Lafayette Award,Sponsor: Schiller International University,Unrestricted,One-half of tuition,20 one-half tuition awards for new students from high school with a French Baccalaureate. This award is valid for one or two semesters at any campus of Schiller International University.
Brandenburg Award,Sponsor: Schiller International University,Unrestricted,one-quarter of tuition,50 one-quarter tuition awards for one or two semesters for students from the former Eastern Block countries and Eastern States of Germany. This is for study at any campus of Schiller International University.
Brazilian Scholars Award at Schiller International University,Sponsor: Schiller International University,Unrestricted,One-quarter of tuition,20 one-quarter tuition awards for Brazilian students who wish to enroll full time in an undergraduate or graduate degree program. This award is valid for up to four semesters. This is for students who desire to study at any Schiller International University campus.
Canadian Scholars Award Schiller International University,Sponsor: Schiller International University,Unrestricted,One-quarter of tuition,20 one-quarter tuition awards for new students.  This is for study at any campus of Schiller International University.This award is available for two semesters to Canadian citizens only.
Dr. Walter Leibrecht Award,Sponsor: Schiller International University,Unrestricted,One third tuition,30 one-third tuition awards for one or two semesters for new students who enroll at a Schiller International University-European campus
Exchange Student Scholarship Award at Schiller International University,Sponsor: Schiller International University,Unrestricted,One third of tuition,"Six one-third tuition awards for new students who are alumni of the American Field Service, Rotary Youth Exchange and Youth for Understanding student programs.  Applicants must have good academic records, demonstrate financial need and are currently enrolled in an accredited secondary or post secondary institution.  The award is valid for one or two semesters for students who study at a Schiller International University campus."
Australian Institute Research Grant,Sponsor: Australian Institute of Aboriginal and Torres Straight Islander Studies,Ethnic Studies,"$18,000",To support research that will secure short-term and long-term benefit to Aboriginal and Torres Strait Islander People
AAHOA Award,Sponsor: Schiller International University,Unrestricted,One quarter of tuition,"50 one-quarter tuition awards are available to members/students of the Asian American Hotel Owners Association, for one academic year and a summer session at any campus of Schiller International University"
Florida High School Award for Schiller International University,Sponsor: Schiller International University,Unrestricted,One third of tuition,"Five one-third tuition awards for one or two semesters available to new students with a good academic record, and are currently enrolled in a high school in the state of Florida. This applies to students who study at any campus of Schiller International University. Schiller"
George Washington Award for Schiller International University,Sponsor: Schiller International University,Unrestricted,One third of tuition,25 one-third tuition awards for one or two semesters to new students who are dependents or employees of the military of the United States and the Department of Defense and demonstrate financial need. This applies to every Schiller International University campus.
Gustav Von Struve Award,Sponsor: Schiller International University,Unrestricted,One quarter of tuition,30 one-quarter tuition awards for new Germany citizen students only who show financial need. This award is valid for one or two semesters at any of the campuses of Schiller International University
Historically Black College And Universities,Sponsor: Schiller International University,Unrestricted,One quarter of tuition,Fifty one-quarter tuition awards available to students who attend or graduated from any one of the 64 Historically Black Colleges and Universities in the United States. This award is available for one or two semesters and applies to any campus of Schiller International University.
Japanese Scholars Award at Schiller International University,Sponsor: Schiller International University,Unrestricted,One quarter of tuition,Five one-quarter tuition awards for new Japanese students carrying a good academic record. This award is valid for two semesters at any Schiller International University campus.
Jane Austen Award,Sponsor: Schiller International University,Unrestricted,One third tuition award,Ten one-third tuition awards for one or two semesters available to new students with British citizenship. Applicants must have a good academic records and demonstrate financial need. This tuition award is valid at any Schiller International University campus.
John Sutter Award,Sponsor: Schiller International University,Unrestricted,One third tuition,Twenty one-third tuition awards for students who are Swiss residents interested in studying at the American College of Switzerland campus. This award is valid for one or two semesters and applicants must demonstrate financial need. This award is only available for students who go to the American College of Switzerland campus of Schiller International University.
Juan Ponce De Leon Award,Sponsor: Schiller International University,Unrestricted,One third of tuition,15 one-third tuition awards are available to new students with Spanish citizenship. Applicants must be currently study or working in Spain with a desire to enroll full time in an undergraduate or graduate degree program. This award applies for Fall and Spring semesters for one academic year of undergraduate or to all terms of study toward a graduate degree. Applicants must have a satisfactory academic record and demonstrate financial need to qualify. Recipients MUST spend their first semester of study at the Madrid campus of Schiller International University.
Knowledge Tuition Award,Sponsor: Schiller International University,Unrestricted,One quarter of tuition,20 one-quarter tuition awards for two semesters to students who demonstrate good academic records and financial need. This award is available at all campuses of Schiller International University.
Korean Scholars Award,Sponsor: Schiller International University,Unrestricted,One quarter of tuition,20 one-quarter tuition awards for new Korean students carrying a good academic record. This award is valid for two semesters at any Schiller International University campus.
Kwame Nkrumah Award,Sponsor: Schiller International University,Unrestricted,One third of tuition,4 one-third tuition awards for one or two semesters for new students from Ghana who possess a good academic record. This applies to any campus of Schiller International University.
Luis Munoz Marin Award,Sponsor: Schiller International University,Unrestricted,One third of tuition,50 one-third tuition awards for US citizens for two semesters who have a GPA of at least 20. This award applies to all campuses of Schiller International University.
MIT - Zaragoza European Supply Chain Professional Scholarships,Sponsor: MIT - Zaragoza Logistics Center,"Business/Management, Computer & Information Systems, Engineering, Mathematics, Transportation/Logistics...","EUR 6,000 - EUR 24,000","Zaragoza Logistics Center (ZLC) is a research institute and first class education center established by the Government of Aragon in Spain in partnership with the Massachusetts Institute of Technology (MIT) and the University of Zaragoza. 

ZLC offers graduate and executive education in Logistics and Supply Chain Management. 

Our Program MIT - Zaragoza Master of Engineering in Logistics and Supply Chain Management (ZLOG) is an intensive 10 months full time program taught in English. It offers the unique combination of a world-class supply chain degree taught in a truly global setting. Created in 2004 in collaboration with the Massachusetts Institute of Technology (MIT), this program prepares students to make an impact on a wide range of industries worldwide.
Through MIT - Zaragoza European Scholarship, ZLC hopes to attract outstanding future leaders from European countries."
MIT - Zaragoza European Supply Chain Professional Scholarships,Sponsor: MIT - Zaragoza Logistics Center,"Business/Management, Computer & Information Systems, Engineering, Mathematics, Transportation/Logistics...","EUR 6,000 - EUR 24,000","Zaragoza Logistics Center (ZLC) is a research institute and first class education center established by the Government of Aragon in Spain in partnership with the Massachusetts Institute of Technology (MIT) and the University of Zaragoza. 

ZLC offers graduate and executive education in Logistics and Supply Chain Management. 

Our Program MIT - Zaragoza Master of Engineering in Logistics and Supply Chain Management (ZLOG) is an intensive 10 months full time program taught in English. It offers the unique combination of a world-class supply chain degree taught in a truly global setting. Created in 2004 in collaboration with the Massachusetts Institute of Technology (MIT), this program prepares students to make an impact on a wide range of industries worldwide.
Through MIT - Zaragoza European Scholarship, ZLC hopes to attract outstanding future leaders from European countries."
Fulbright Police Research Fellowship,Sponsor: The US-UK Fulbright Commission,Unrestricted,"$3,600 per month","In this Award category, up to three grants are offered to active UK police officers and staff from all ranks to conduct research, pursue professional development and/or assess best practice affiliated with any US institution for a period of three to five months. Candidates choose and make arrangements with US host institutions directly and independently. In exchange for serving as host, Police Research Scholars can be a resource for US institutions by offering to speak to students and faculty about policing and criminal justice in the UK."
Fulbright All-Disciplines Scholar Awards,Sponsor: The US-UK Fulbright Commission,Unrestricted,"$5,000 USD per month","In this Award category, approximately 5 grants are offered to UK academics and professionals to undertake lecturing, research or a combination of the two for a period of three to ten months. Candidates choose and make arrangements with US host institutions directly and independently."
Fulbright-Astrazeneca Research Award,Sponsor: The US-UK Fulbright Commission and AstraZeneca PLC,"Biology/Life Sciences, Sciences and Chemistry","20,000 GBP","Supports one post-doctoral scholar per academic year for a research project for a minimum of ten months in any aspect of Chemistry, Biochemistry, Cell Biology, Molecular Biology or Bio-informatics"
Fulbright Hubert Humphrey Public Affairs Fellowship,Sponsor: The US-UK Fulbright Commission,Public / Community Service,"Tuition and Fees plus $13,898.20","In this Award category, one grant is offered to a UK civil servant (at Grade 7 or above) to develop skills in operational and policy delivery through research and/or study during one semester (four months) at the Hubert Humphrey Institute of Public Affairs, at the University of Minnesota. The Fellow may also attend up to 3 courses (either enrolled for a full semester or on a more casual ‘audit’ basis), and will be expected to give presentations to faculty, students and the wider community, to conduct peer to peer research, to take part in the activities of the Institute. They will also have access to some travel allowances and will receive help in setting up meetings with key professionals and other networking opportunities."
Research Participation Projects through Argonne National Laboratory,Sponsor: Argonne National Laboratory,Unrestricted,Variable,An online catalog of research projects that are taking place at the Argonne National Laboratory. Student can browse the catalog and apply for a program that fits with them.
WyzAnt Scholarships,Sponsor: WyzAnt,Unrestricted,"$10,000; $3,000; $2,000","Each individual who applies (""Applicant"") will be required to write an essay in English of no more than 300 words answering the question: ""If you could teach everyone in the world one thing, what would it be?"" The essay must be the sole original work of the Applicant and there may be only one entry per Applicant."
Fulbright-Robertson Visiting Professor In British History,Sponsor: The US-UK Fulbright Commission and Westminster College,History,"$52,500 USD","This Award category, named in honour of the late Rev. William W. Robertson, provides a career-development opportunity for an exceptional, early-career British Historian to teach at Westminster College, Missouri, a small, selective liberal arts college for one academic year. The modest lecturing requirement will allow time for establishing a collaborative relationship with the US National Churchill Museum and Churchill Institute and for conducting personal research."
Fulbright-Royal College Of Surgeons Of England Research Award,"Sponsor: US-UK Fulbright Commission, Royal College of Surgeons of England",Unrestricted,"2,350 GBP per month plus full UK clinical salary cost","Each year, one award is offered to a surgeon, trainee surgeon or individual that will pursue research (at any accredited US higher education institution) into the development of new operative techniques, improvements in patient care and recovery and/or the causes of surgical conditions and how to treat them. This Award is for a period of 3-12 months."
Fulbright Scottish Studies Scholar Award,"Sponsor: US-UK Fulbright Commission, Scottish Government","Arts, Visual & Performing, English Literature, Music, History...","11,000 GBP per semester","One award is offered to an academic to undertake lecturing, carry out research relating to Scottish Studies, and develop institutional links with any accredited US institution. The appointment will be for a period of one semester or one academic year."
Fulbright-Deafness Research UK Award,"Sponsor: US-UK Fulbright Commission, Deafness Research UK",Medicine and Health Sciences and Sciences,"75,000 GBP","Each year, one award is offered in conjunction with Deafness Research UK to an academic individual to pursue laboratory based research into prevention, diagnosis or treatment of all forms of hearing impairment at any accredited US higher education institution. This Award is for a period of 12 months."
Fulbright-Diabetes UK Research Award,Sponsor: US-UK Fulbright Commission. Diabetes UK,Medicine and Health Sciences,"75,000 GBP","Each year, one award is offered in conjunction with Diabetes UK to a UK citizen in support of research at any accredited US institution into the clinical or biomedical aspects of diabetes or the social or economic issues faced by people living with diabetes. The award is for a period of 12 months."
Fulbright-Fight For Sight Research Award,"Sponsor: US-UK Fulbright Commission, Fight for Sight Eye Research",Unrestricted,"75,000 GBP","Each year, one award is offered in conjunction with Fight for Sight to an academic to pursue laboratory based research into the prevention and treatment of blindness or eye disease at any accredited US higher education institution. This Award is for a period of 12 months."
Fulbright-Royal Institution Of Chartered Surveyores Scholar Award,"Sponsor: US-UK Fulbright Commission, Royal Institution of Chartered Surveyors",Town and Country Planning,"2,750 GBP per month","Each year, one award is offered in conjunction with RICS (Royal Institution of Chartered Suveyors)  to an academic or outstanding UK professional to pursue research in property, land or the built environment, affiliated with any US institution. The appointment will be for a period of 3-10 months."
Fulbright-Alistair Cooke Award In Journalism,Sponsor: US-UK Fulbright Commission,Journalism/Broadcasting,Variable,"This award is named in honor of the great trans-Atlantic journalist and commentator, Alistair Cooke (1908-2004), and is given to one student each year seeking a Master's in Journalism or in a specialist subject leading to a career in Journalism (eg Area Studies) at any accredited UK university. There is the possibility of an internship with the BBC for successful candidates."
World Press Institute Fellowship,Sponsor: World Press Institute,Journalism/Broadcasting,Variable,"The fellowship provides immersion into the governance, politics, business, media, journalistic ethics and culture of the United States for experienced international journalists, through a demanding schedule of study, travel and interviews throughout the country."
Marie Curie Fellowships,Sponsor: Gerda Henkel Foundation,"Arts, Visual & Performing, Political Science/Social Science, Ethnic Studies, History and Humanities",Variable,"Starting in 2011, the Gerda Henkel Foundation is offering Marie Curie Fellowships in the M4HUMAN programme aimed at supporting outstanding scholars."
Dekeyser&Friends Fellowship,Sponsor: Dekeyser&Friends Foundation,"Creative Writing, Culinary Arts, Education/Counseling, Food Science / Nutrition and Horticulture / Floriculture",Variable,We offer unique fellowships for young people between 18 and 28 to participate in Dekeyser & Friends projects worldwide. Visit our website to see current project listings.
Vertical Flight Foundation Scholarship,Sponsor: Vertical Flight Foundation,Aviation/Aerospace,$1000-$5000,"Award for study in aerospace, electrical, or mechanical engineering."
9 PhD Scholarships In Public Economics,Sponsor: Defap- Graduate School in Public Economics,Economics,"13,000 euros","Defap, Graduate School offers 9 Ph.D. scholarships in Public Economics.   First year students at Defap Graduate School can enroll directly to the 3 year-doctoral programme (with scholarships) or to 1 year-master programme (without scholarships). After completing the master programme, successful students have the opportunity to compete for a PhD position endowed with a scholarship."
International WaterCentre Masters Scholarships,Sponsor: International WaterCentre (IWC),Engineering and Sustainable Development,"Up to $92,645 AUD",The International WaterCentre (IWC) is offering several full scholarships for future water leaders interested in studying the Master of Integrated Water Management (MIWM) at The University of Queensland (Australia).
International WaterCentre Masters Scholarships,Sponsor: International WaterCentre (IWC),Engineering and Sustainable Development,"Up to $92,645 AUD",The International WaterCentre (IWC) is offering several full scholarships for future water leaders interested in studying the Master of Integrated Water Management (MIWM) at The University of Queensland (Australia).
Economic History Association Arthur H. Cole Grants-in-Aid,Sponsor: Economic History Association,Economics,Variable,"To support research in economic history, regardless of time period or geographic area"
International Award Of Navarra,Sponsor: Foro Europeo - The Business School of Navarra,Finance,"6,950 Euros",The Award covers 50% of the tuition fee of the program: Master of International Business Administration that is entirely in English
GSPAS Ph.D. Full Scholarship,Sponsor: Graduate School of Public Administration,Political Science/Social Science,"10,000 Baht","GSPA scholarships are for Ph.D. Program of Development Administration granted to foreign students, financial support needed to promote international understanding and scholarly fraternity."
IOE Fulbright Postgraduate Student Award,Sponsor: Fulbright Commission,"Education, Mathematics, International Education, Teaching English to Speakers of Other Languages (TESOL), ESL (English as a Second Language) and Music/Recording Arts",Variable,"The IOE-Fulbright award is an exceptionally prestigious distinction, and attracts a world-class field of candidates.  The scholarship is open to US citizens seeking to study for a Masters degree."
Research Grants through the Geological Society of America,Sponsor: Geological Society of America,Natural Resources and Sciences,"$1,465 - $2,500 USD",To provide partial support of masters and doctoral thesis research in geological sciences
St. Edward's University Academic Scholarships,Sponsor: St. Edwards University,Unrestricted,"$15,000 USD",FOR STUDY AT ST. EDWARD'S UNIVERSITY ONLY. We offer academic and athletic scholarships for international freshmen and athletic scholarships for international transfer students. Academic scholarships require no additional application beyond your application for admission.
"The Joseph A. Coupet, Sr. Scholarship",Sponsor: Virtual Organization Management Institute (VOMI),Unrestricted,"Up to $33,695 USD","For prospective, incoming and current VOMI secondary school and community college students in the USA based on academic merit."
VOMI Circle Of Excellence Scholarship,Sponsor: Virtual Organization Management Institute (VOMI),Unrestricted,Variable,"for prospective, incoming and current VOMI Master Designation Program students worldwide based on needs, field of study and academic merit."
Virtual Organization Management Institute Scholarship,Sponsor: Virtual Organization Management Institute (VOMI),Unrestricted,Variable,"for all prospective, incoming and current VOMI students worldwide based on needs."
VOMI Honor To Veterans Scholarship,Sponsor: Virtual Organization Management Institute (VOMI),Unrestricted,Variable,for all US Veterans based on needs. Wounded and disabled Iraq and Afghanistan War veterans will be granted priority consideration.
VOMI Military Spouses & Dependents Scholarship,Sponsor: Virtual Organization Management Institute (VOMI),Unrestricted,Variable,"for all spouses, and children between the ages of 18 and 26, of US military personnel"
Pierre M. Coupet Scholarship Fund,Sponsor: Virtual Organization Management Institute (VOMI),Unrestricted,"up to $36,195 USD","For all prospective, incoming and current VOMI students from Latin America, including the Caribbean. Awards are based on needs and academic merit."
IMT Institute For Advanced Studies Lucca PhD Scholarships,Sponsor: IMT Institute for Advanced Studies,"Arts, Visual & Performing, Computer & Information Systems, Engineering, Mathematics...","13,600 euros","PhD programs in: computer science and engineering economics, markets and institutions management, development of cultural heritage institutions and politics and policies."
Malmberg Scholarship For Study In Sweden,Sponsor: The American Swedish Institute,Unrestricted,"Up to $10,000 USD",Awarded to either a student enrolled in a degree-granting program at an accredited college in the U.S. or a qualified scholar engaged in study or research in the U.S.
Gsba Ph.d. Full Scholarship,Sponsor: Graduate School of Business Administration,Finance,"40,000 Baht","GSBA scholarships are for Ph.D. Programs in Finance granted to foreign students, financial support needed to promote international understanding and scholarly fraternity."
GSBA MBA Eng. Full Tuition Scholarship,Sponsor: Graduate School of Business Administration,Finance,"$ 8,334","GSPA scholarships are for MBA English program granted to foreign students, financial support needed to promote international understanding and scholarly fraternity."
College Of Saint Catherine International Student Scholarships,Sponsor: College of Saint Catherine,Unrestricted,"$2,000 - $12,000",To assist undergraduate female international students who have shown satisfactory academic performance to attend the College of St. Catherine.
Scholarships For Master And PhD Programmes,Sponsor: Graduate Institute of International and Development Studies,"Sustainable Development, Economics, History, International Relations, Peace and Conflict Studies and Political Science","18,000 CHF","A substantial number of scholarships is allotted each year by the Institute to Master and Ph.D. students on the basis of academic merit and financial need. There are three kinds of scholarships: full scholarships, partial scholarships and tuition scholarships. Their duration is of one year with possible renewals."
ISAD Scolarships For Design Courses In Milan,Sponsor: ISAD ISTITUTO SUPERIORE DI ARCHITETTURA E DESIGN,Architecture & Design,"4,590 Euro",ISAD provides 5 scholarships for international students pursing a Master's in interior design.
International Call Of Doctoral Scholarships 2011,Sponsor: CIE Campus Moncloa,"Arts, Visual & Performing, Architecture & Design, Biology/Life Sciences, Computer & Information Systems...",18000 Euros,"Call of 14 Grants for Scolarships and Standardized Contracts (4 years) for the performance of PhDs marked by at least two practising doctors from the two associated Universities, the UCM and the UPM, and/or by doctors from the other associated Institutions within the context of the Campus Moncloa in these areas: Global Change and New Energies, Materials for the Future, Agri-food and Health, Innovative Medicine, and Heritage."
University Of Richmond Scholars Program,Sponsor: University of Richmond,Unrestricted,Variable,"The University's most prestigious academic awards, these scholarships are given to 45 incoming students and range from full tuition to full tuition plus room and board."
Mary A Gardner Scholarship,Sponsor: Association for Education in Journalism and Mass Communication,Journalism/Broadcasting,$300 USD,To recognize an outstanding undergraduate journalism student and to encourage careers in news reporting and/or editing
Elizabeth Greenshields Award,Sponsor: Elizabeth Greenshields Foundation,"Arts, Visual & Performing","$10,000 Canadian Dollars",Award to aid candidates working in the early stages of their art careers.
Amity Institute Internships,Sponsor: Amity Institute,Education/Counseling,Variable,The Amity Program provides young people from around the world with the opportunity to volunteer in language education and represent their country in the U.S.
The NUS PhD-MBA Scholarship,Sponsor: National University of Singapore,"Biology/Life Sciences, Computer & Information Systems, Engineering, Mathematics, Aviation/Aerospace...",Variable,Call for Applications - The NUS PhD-MBA     For entrepreneurial students - Full scholarships available    The NUS PhD-MBA aims to attract and train talented students who have the potential to create and lead technology companies.
2 Week Italian Course - 50% Scholarship,Sponsor: Scuola di Italiano Dante Alighieri Camerino,Languages/Linguistics,50% of course price,50% scholarships for a two week Italian group course including cultural visits and non-educational activities in the afternoon. The scholarships are available all year for all levels.
Master ISAD In Yacht Design 2012,Sponsor: ISAD ISTITUTO SUPERIORE DI ARCHITETTURA E DESIGN,Architecture & Design,"5.263,50 euros","Provision of N.5 scholarships of partial coverage equal to 50% of tuition fee for the Master in Yacht Design, starting at ISAD Milan on 30th January 2012"
Chosun University Post-doctoral Fellowship,"Sponsor: SOC Design Lab, Chosun University","Communications, Computer & Information Systems and Engineering",Variable,Research Areas  1) Circuit/ASIC/SOC design for Communication / Bio-medical signal processing or  2) Algorithm development (using C or MATLAB) for Communication / Bio-medical signal processing
University of Bari PhD Studentship In Mathematics Reserved To Foreign Students,Sponsor: University of Bari - Apulian Region,Mathematics,13.638 euros,The Doctoral Program in Mathematics is centered on an interdisciplinary perspective. The program covers seven main areas  1. Analysis;  2. Algebra;  3. Geometry;  4. Mathematical Physics;  5. Probability;  6. Numerical Analysis and Scientific Computation;  7. Mathematics for Finance;  and the students have to work in one of these areas. Candidates are also  expected to complete a thesis within this period.
Adele Filene Purse Student Travel Award,Sponsor: Costume Society of America,Ethnic Studies,$500 USD,One time award for Costume Society of America members currently enrolled as students to travel to a national symposium and present a paper
Stella Blum Research Grant,Sponsor: Costume Society of America,Unrestricted,"$2,000 USD",For members of the Costume Society of America with research projects in the field of North American Costume
National Art Materials Trade Association Scholarship,Sponsor: National Art Materials Trade Association,"Arts, Visual & Performing","$1,000 USD",Award for an employee or relative of a National Art Materials Trade Association member.
50% Scholarship For Italian Course In Liguria,Sponsor: Scuola di lingua Poliedro,Languages/Linguistics,50% of course price,50% discount on the Italian standard group course; 2 week duration; 4 hours/day.
University Of Alberta China Centenary Scholarship,Sponsor: University of Alberta,Unrestricted,"$20,000 CAD$ payable over 4 years","Awarded to students on a Study Permit with superior academic achievement entering the first year of an undergraduate degree program at the University of Alberta from a high school in China. Selection based on academic standing, demonstrated leadership qualities based on involvement in extracurricular and community activities, and a counsellor's letter of recommendation. Renewal of funding for the second, third, and fourth years is contingent upon achieving a minimum GPA of 3.0 on a full normal course load at the University of Alberta, while studying on a Study Permit. Students must have less than 24 IB, AP or A-level credits. Transfer students are not eligible for this scholarship. For the purpose of this award, ""China"" refers to mainland China.

Recipient(s) of this scholarship are ineligible to receive the general University of Alberta Centenary Scholarships.In order to apply for scholarships, you must first apply for admission to a degree program at the University of Alberta. You will receive a CCID and password when you apply for admission and must use this to access the awards application. Students applying for this scholarship can apply through the Major International Entrance Scholarship in the application portal."
Chosun University Graduate Research Scholarship,Sponsor: Chosun University,Computer & Information Systems,tuition and expenses,"Graduate Fellowship at the Mobile Computing Lab, Chosun University, Gwangju, South Korea"
WUL Graduate Studies Scholarship,Sponsor: Webster University,Unrestricted,Dependent on program,"Webster University Leiden (WUL) offers merit scholarships to new, full-time graduate students. Applicants must demonstrate excellent prior academic performance (minimum GPA of 3.2 on the American 4.0 scale), extracurricular activities and leadership potential, or demonstrate need. The scholarship is renewable at the end of the Academic Year if the awardee maintains continuous full-time enrollment at Webster Leiden and meets or exceeds the required cumulative grade point average of 3.5. The scholarship award is 25% of tuition costs and may vary per student."
May Quon Undergraduate Scholarship,Sponsor: University of Alberta,Unrestricted,"$45,000 CAD$ payable over 4 years",Awarded to a student on a study permit who has superior academic achievement entering any year of an undergraduate degree program at the University of Alberta. Selection based upon academic standing and self-declared financial need.
University Of Alberta China First Year Excellence Scholarship,Sponsor: University of Alberta,Unrestricted,"$3,000",Awarded to students studying in Canada on a Study Permit with superior academic achievement entering the first year of a University of Alberta undergraduate degree program from China. Selection based on High School academic standing.
University Of Alberta China (BC Curriculum) School Excellence Scholarship,Sponsor: University of Alberta,Unrestricted,"$3,000",Conditions: Awarded to student(s) on Study Permit(s) with superior academic achievement entering their first year of an undergraduate degree program at the University of Alberta from a provincially authorized secondary school in China offering the British Columbia curriculum.
Society Of Naval Architects And Marine Engineers Graduate Scholarships Program,Sponsor: Society of Naval Architects and Marine Engineers,Engineering,Variable,Awards available at the graduate level to encourage men and women to pursue studies in naval architect or marine engineering.
Society Of Naval Architects And Marine Engineers Graduate Scholarships Program,Sponsor: Society of Naval Architects and Marine Engineers,Engineering,Variable,Awards available at the graduate level to encourage men and women to pursue studies in naval architect or marine engineering.
University Of Alberta - Germany First Year Excellence Scholarship,Sponsor: University of Alberta,Unrestricted,"$5,000","Any students who are not Canadian citizens or permanent residents are eligible to apply.  Students must be entering the first year of an Undergraduate degree program at the University from a high school in Germany and have less than 24 IB, AP, or A- Level credits."
University Of Alberta India Centenary Scholarship,Sponsor: University of Alberta,Unrestricted,"$20,000 payable over 4 years","Awarded to students on a study permit with superior academic achievement entering the first year of an undergraduate degree program at the University of Alberta from a high school in India and have less ess than 24 IB, AP, or A-Level credits."
University Of Alberta - India First Year Excellence Scholarship,Sponsor: University of Alberta,Unrestricted,"$3,000","Awarded to students studying in Canada on a study permit with superior academic achievement entering the first year of a University of Alberta undergraduate degree program from India and  have less than 24 IB, AP, or A-Level credits."
University Of Alberta - USA Centenary Scholarship,Sponsor: University of Alberta,Unrestricted,"$20,000 (over 4 years)",Awarded to student(s) on Study Permit(s) who have superior academic achievement entering the first year of an undergraduate degree program from a from a High School in the USA.
University Of Alberta - USA First Year Excellence Scholarship,Sponsor: University of Alberta,Unrestricted,"$10,000","Awarded to student(s) on Study Permit(s) with superior academic achievement entering the first year of an undergraduate degree program at the University of Alberta from a high school in the USA. Students must have less than 24 IB, AP, or A-Level credits."
International Student USA Transfer Award,Sponsor: University of Alberta,Unrestricted,Variable,Awarded to student(s) on study permit(s) with a minimum admission GPA of 3.0 in their previous post-secondary coursework transferring into an undergraduate degree program at the University of Alberta from a post-secondary institution in the USA. Selection based on academic standing.
"PhD Research Assistantship At The Computer Systems Lab, Chosun University, Gwang",Sponsor: Chosun University,Computer & Information Systems,Tuition and expenses,"The PhD positions are targeted at the following research topics:  Energy-efficient Algorithms for Wireless Personalized-health-monitoring Technologies,	Bio-Inspired Fault Tolerant Systems, Configurable Computing, Virtual Instrumentation"
IOE Centenary Masters Scholarship,Sponsor: Institute of Education,Education,"£14,000",The scholarship will support international students on full-time taught Masters course at the IOE.  The scholarships cover the cost of tuition fees.
Copernicus Center Scholarship for Postdoc Researchers (Limits of Explanation),Sponsor: John Templeton Foundation,"Biology/Life Sciences, Mathematics, Philosophy & Religion, Physical Sciences, Psychology and Theological Studies",2000 USD/month (gross),"The Copernicus Center Scholarship for Postdoctoral Researchers, funded by The John 
Templeton Foundation, is offered to individuals who hold a PhD degree (or equivalent) in the 
fields of: philosophy, mathematics, mathematical physics, cosmology, psychology, cognitive 
science, neuroscience, anthropology, religious studies and related disciplines. Preferred 
research areas:
(1) Methodological and conceptual limits of scientific explanation,
(2) ‘Philosophy in science’ methodology, 
(3) Issues at the intersection of philosophy and various sciences.

Further information can be found at http://limitsofexplanation.edu.pl."
Copernicus Center Scholarship for Postdoc Researchers (Limits of Explanation),Sponsor: John Templeton Foundation,"Biology/Life Sciences, Mathematics, Philosophy & Religion, Physical Sciences, Psychology and Theological Studies",2000 USD/month (gross),"The Copernicus Center Scholarship for Postdoctoral Researchers, funded by The John 
Templeton Foundation, is offered to individuals who hold a PhD degree (or equivalent) in the 
fields of: philosophy, mathematics, mathematical physics, cosmology, psychology, cognitive 
science, neuroscience, anthropology, religious studies and related disciplines. Preferred 
research areas:
(1) Methodological and conceptual limits of scientific explanation,
(2) ‘Philosophy in science’ methodology, 
(3) Issues at the intersection of philosophy and various sciences.

Further information can be found at http://limitsofexplanation.edu.pl."
"Copernicus Center Scholarship, Postdoctoral Researchers(Physics and Cosmology)",Sponsor: John Templeton Foundation,Mathematics and Physical Sciences,2000 USD/month (gross),"The Copernicus Center Scholarship for Postdoctoral Researchers, funded by The John Templeton
Foundation, is offered to researchers in the fields of: mathematics, mathematical physics,
astrophysics and cosmology. The topic of the proposed research should pertain to one of the
following issues:
(1) Noncommutative geometry and its application in physics;
(2) Physical viability of metric nonlinear (higher derivative) gravity theories ;
(3) Cosmology (with focus on symbolic computation in cosmology);
(4) Scientific method at its limit. Philosophical consequences of aspects theories and models."
"Copernicus Center Scholarship, Postdoctoral Researchers(Physics and Cosmology)",Sponsor: John Templeton Foundation,Mathematics and Physical Sciences,2000 USD/month (gross),"The Copernicus Center Scholarship for Postdoctoral Researchers, funded by The John Templeton
Foundation, is offered to researchers in the fields of: mathematics, mathematical physics,
astrophysics and cosmology. The topic of the proposed research should pertain to one of the
following issues:
(1) Noncommutative geometry and its application in physics;
(2) Physical viability of metric nonlinear (higher derivative) gravity theories ;
(3) Cosmology (with focus on symbolic computation in cosmology);
(4) Scientific method at its limit. Philosophical consequences of aspects theories and models."
International Internship Program: Scholarship,Sponsor: El Nomad Immersion Programs Ecuador,Unrestricted,$500 USD,"El Nomad believes that cultural competency is essential to succeeding in the interconnected, diverse world in which we live. We provide experiences that prepare individuals to excel as global citizens, and seek to make our immersion programs affordable to all students and professionals.  

Currently, we are offering two scholarships for our Summer Internship Program, designed for outstanding students seeking financial assistance.  

A scholarship committee will select two applicants to receive the USD $500 scholarships, which will be applied to the cost of your El Nomad Summer Internship Program."
Media Correspondent Scholarship,Sponsor: El Nomad Immersion Programs Ecuador,Unrestricted,$500,"Calling all aspiring journalists, photographers, and videographers! 
If you plan to embark on one of El Nomad's exciting programs this summer and can commit to documenting your adventures, you could be eligible to win up to USD $500!"
